date,lab_tested,lab_tested_new,negatives,negatives_new,confirmed,confirmed_new,recovered,recovered_new,death,death_new,contact_tracing,contact_tracing_new,inpatient,inpatient_new,ICU,ICU_new,homecare,homecare_new,hotelcare,hotelcare_new,imported,imported_new,contact,contact_new,communitaries,communitaries_new,male,male_new,female,female_new
2020-02-29,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2020-03-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,6,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,8,1,7,3,0,0,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,14,6,10,3,0,0,0,0,0,0,66,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,19,5,15,5,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,21,2,21,6,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,24,3,22,1,0,0,0,0,0,0,124,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,30,6,25,3,1,1,0,0,0,0,238,114,1,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA
2020-03-18,39,9,32,7,3,2,0,0,0,0,288,50,3,2,0,0,0,0,0,0,3,2,0,0,0,0,NA,NA,NA,NA
2020-03-19,48,9,38,6,6,3,0,0,0,0,320,32,6,3,0,0,0,0,0,0,6,3,0,0,0,0,NA,NA,NA,NA
2020-03-20,54,6,47,9,7,1,0,0,0,0,345,25,7,1,0,0,0,0,0,0,7,1,0,0,0,0,NA,NA,NA,NA
2020-03-21,62,8,53,6,8,1,0,0,0,0,345,0,8,1,0,0,0,0,0,0,8,1,0,0,0,0,2,NA,6,NA
2020-03-22,69,7,59,6,9,1,0,0,0,0,429,84,8,0,0,0,1,1,0,0,9,1,0,0,0,0,3,1,6,0
2020-03-23,80,11,68,9,12,3,0,0,0,0,459,30,7,-1,0,0,5,4,0,0,12,3,0,0,0,0,4,1,8,2
2020-03-24,94,14,78,10,16,4,0,0,0,0,806,347,8,1,0,0,8,3,0,0,15,3,1,1,0,0,6,2,10,2
2020-03-25,105,11,85,7,20,4,0,0,0,0,835,29,1,-7,0,0,15,7,4,4,16,1,4,3,0,0,7,1,13,3
